Municipio,Iegm,Influencia_grupos_interesse,Partidos,Destinacao_final,Distancia_Aterro,Populacao,Potencial_adocao
Ibimirim,1,2,1,3,1,2,10
Tacaimbo,1,1,3,2,2,2,11
Sanharo,1,4,1,2,2,2,12
Iati,2,2,3,3,1,2,13
Altinho,1,2,3,3,2,2,13
Sao_Bento_Una,1,1,4,2,2,3,13
Saire,2,2,4,3,1,2,14
São_Joao,1,2,4,3,2,2,14
Petrolandia,1,2,4,3,1,3,14
Salgueiro,1,2,3,3,1,4,14
Gravata,2,1,3,2,2,4,14
Rio_Formoso,2,3,3,4,1,2,15
Arcoverde,1,2,4,3,1,4,15
Garanhuns,1,2,3,3,1,5,15
Brejao,1,4,3,3,3,2,16
Calcado,1,4,4,3,2,2,16
Angelim,1,4,3,3,3,2,16
Alagoinha,1,4,3,3,3,2,16
Jurema,1,4,3,3,3,2,16
Panelas,1,4,3,3,3,2,16
Cachoeirinha,1,4,3,3,3,2,16
Amaraji,1,3,3,4,3,2,16
Lajedo,2,2,4,3,2,3,16
Ribeirao,1,3,3,4,2,3,16
Belo_Jardim,1,2,5,2,2,4,16
Paranatama,1,4,4,3,3,2,17
Verdejante,2,4,3,3,3,2,17
Jucati,2,4,3,3,3,2,17
Ibirajuba,1,4,4,3,3,2,17
Granito,1,4,2,3,5,2,17
Lagoa_Ouro,1,4,4,3,3,2,17
Capoeiras,1,4,5,3,2,2,17
Serrita,1,4,4,3,3,2,17
Mirandiba,1,4,3,3,4,2,17
Saloa,1,4,4,3,3,2,17
Jupi,1,4,5,3,2,2,17
Parnamirim,1,4,3,3,4,2,17
Primavera,2,3,4,4,2,2,17
Lagoa_Gatos,1,4,4,3,3,2,17
São_Jose_Coroa_Grande,1,3,4,4,3,2,17
Tamandare,1,3,4,4,3,2,17
Agrestina,3,4,3,3,2,2,17
Itapissuma,1,6,4,2,2,2,17
Sirinhaem,1,3,4,4,2,3,17
Aguas_Belas,2,4,2,3,3,3,17
Bonito,1,4,3,3,3,3,17
Bom_Conselho,1,4,3,3,3,3,17
Bezerros,1,2,5,2,3,4,17
Abreu_Lima,1,1,5,2,3,5,17
Terezinha,1,4,3,3,5,2,18
Santa_Maria_Cambuca,1,6,3,2,4,2,18
Frei_Miguelinho,1,6,3,2,4,2,18
Manari,1,4,4,3,4,2,18
Palmeirina,1,4,4,3,4,2,18
Afranio,2,4,3,2,5,2,18
Cedro,1,4,4,3,4,2,18
Inaja,1,4,4,3,4,2,18
Belem_Maria,1,4,5,3,3,2,18
Tupanatinga,1,4,4,3,4,2,18
Ferreiros,1,6,3,2,4,2,18
Correntes,1,4,3,3,5,2,18
Barra_Guabiraba,1,3,4,4,4,2,18
Joaquim_Nabuco,1,3,4,4,4,2,18
Quipapa,1,4,4,3,4,2,18
Cha_Grande,1,3,4,4,4,2,18
Canhotinho,1,4,5,3,3,2,18
São_Joaquim_Monte,1,4,5,3,3,2,18
Aracoiaba,2,4,5,2,3,2,18
São_Jose_Belmonte,1,4,3,3,5,2,18
Taguaritinga_Norte,1,6,3,2,4,2,18
Sertania,2,4,3,3,4,2,18
Gameleira,1,3,4,4,3,3,18
Alianca,1,4,4,2,4,3,18
Buique,1,4,4,3,3,3,18
Goiana,1,6,3,2,2,4,18
Oroco,2,4,2,3,6,2,19
Terra_Nova,3,4,4,3,3,2,19
Camutanga,1,6,4,2,4,2,19
Caetes,4,4,4,3,2,2,19
Cumaru,1,6,4,2,4,2,19
Flores,1,4,3,3,6,2,19
Venturosa,2,5,4,3,3,2,19
Lagoa_Grande,1,6,4,2,4,2,19
Vertentes,1,6,5,2,3,2,19
Camocim_Sao_Felix,1,6,4,2,4,2,19
Joao_Alfredo,1,6,3,2,5,2,19
Pombos,2,3,4,4,4,2,19
Exu,1,4,3,3,6,2,19
Feira_Nova,1,6,4,2,4,2,19
Ilha_Itamaraca,2,6,4,2,3,2,19
Agua_Preta,3,3,3,4,4,2,19
Cabrobo,1,4,4,3,4,3,19
Cupira,1,4,5,3,3,3,19
Itambe,1,6,4,2,3,3,19
Toritama,1,6,4,2,3,3,19
Moreno,1,6,3,2,3,4,19
Vertentes_Lerio,1,6,4,2,5,2,20
Quixaba,1,4,4,3,6,2,20
Salgadinho,1,6,4,2,5,2,20
Santa_Cruz_Baixa_Verde,1,4,4,3,6,2,20
Dormentes,1,6,3,2,6,2,20
Iguaracy,2,4,3,3,6,2,20
Pocao,2,5,4,3,4,2,20
São_Benedito_Sul,3,4,4,3,4,2,20
Cortes,1,6,4,4,3,2,20
Orobo,1,4,5,3,5,2,20
Riacho_Almas,3,6,4,2,3,2,20
Jatauba,1,6,4,2,5,2,20
São_Vicente_Ferrer,1,6,4,2,5,2,20
Pedra,1,5,4,6,2,2,20
Vicencia,2,6,4,2,4,2,20
Macaparana,1,6,4,2,5,2,20
Condado,2,6,4,2,3,3,20
Sao_Caetano,1,6,5,2,3,3,20
Pesqueira,1,5,4,3,3,4,20
Palmares,1,3,4,4,4,4,20
Escada,1,6,4,4,1,4,20
Carpina,1,6,3,2,4,4,20
Igarassu,1,6,4,2,2,5,20
São_Lourenco_Mata,1,6,3,2,3,5,20
Casinhas,2,4,5,3,5,2,21
Santa_Cruz,1,6,4,2,6,2,21
Triunfo,2,4,4,3,6,2,21
Xexeu,1,3,5,4,6,2,21
Cha_Alegria,1,5,3,6,4,2,21
Itaiba,1,4,4,5,5,2,21
Itaquitinga,1,5,4,6,3,2,21
Lagoa_Itaenga,1,5,3,6,4,2,21
Surubim,1,6,3,2,5,4,21
Serra Talhada,1,4,3,3,6,4,21
Santa_Cruz_Capibaribe,1,6,4,2,3,5,21
Camaragibe,1,6,4,2,3,5,21
Recife,1,6,3,2,3,6,21
Betânia,1,5,4,6,4,2,22
Moreilândia,1,5,3,6,5,2,22
Jaqueira,3,4,4,3,6,2,22
Machados,4,6,3,2,5,2,22
Tracunhaém,1,5,4,6,4,2,22
Lagoa do Carro,3,6,5,2,4,2,22
Bom_Jardim,1,4,5,5,5,2,22
Catende,1,5,4,6,3,3,22
Paudalho,1,5,4,6,3,3,22
Vitoria_Santo_Antao,1,6,4,2,4,5,22
Caruaru,1,6,5,2,2,6,22
Paulista,1,6,4,2,3,6,22
Olinda,1,6,4,2,3,6,22
Jaboatao_Guararapes,1,6,4,2,3,6,22
Solidao,1,5,3,6,6,2,23
Ingazeira,1,5,3,6,6,2,23
Carnaíba,1,5,3,6,6,2,23
Maraial,1,5,4,6,5,2,23
Tacaratu,1,5,4,6,5,2,23
Belem_Sao_Francisco,1,5,4,6,5,2,23
Bodoco,1,5,3,6,6,2,23
Nazare_Mata,1,5,4,6,4,3,23
Brejo_Madre_Deus,1,5,5,6,3,3,23
Ipojuca,2,6,4,5,2,4,23
Cabo_Santo_Agostinho,1,6,5,2,3,6,23
Carnaubeira_Penha,2,5,4,6,5,2,24
Calumbi,1,5,4,6,6,2,24
Santa_Filomena,1,5,4,6,6,2,24
Brejinho,1,5,4,6,6,2,24
Itacuruba,1,5,4,6,6,2,24
Jatoba,1,5,4,6,6,2,24
Tuparetama,1,5,4,6,6,2,24
Buenos_Aires,2,5,4,6,5,2,24
Itapetim,1,5,4,6,6,2,24
